norm_relative_enemy_x,norm_relative_enemy_y,norm_player_x,norm_player_y,norm_cooldown,norm_nearest_laser_relative_x,norm_nearest_laser_relative_y,laser_above,player_input
-0.041,-0.549,0.133,0.853,0.0,-0.115,-0.209,0,2
-0.048,-0.548,0.14,0.853,0.0,-0.121,-0.201,0,2
-0.055,-0.547,0.147,0.853,0.0,-0.128,-0.193,0,2
-0.061,-0.545,0.153,0.853,0.0,-0.135,-0.185,0,2
-0.068,-0.544,0.16,0.853,0.0,-0.141,-0.177,0,2
-0.075,-0.543,0.167,0.853,0.0,-0.148,-0.169,0,2
-0.081,-0.541,0.173,0.853,0.0,-0.155,-0.161,0,2
-0.088,-0.54,0.18,0.853,0.0,-0.161,-0.153,0,2
-0.095,-0.539,0.187,0.853,0.0,-0.168,-0.145,0,2
-0.101,-0.537,0.193,0.853,0.0,-0.175,-0.137,0,2
-0.108,-0.536,0.2,0.853,0.0,-0.181,-0.129,0,2
-0.115,-0.535,0.207,0.853,0.0,-0.188,-0.121,0,2
-0.121,-0.533,0.213,0.853,0.0,-0.195,-0.113,0,2
-0.128,-0.532,0.22,0.853,0.0,-0.201,-0.105,0,2
-0.135,-0.531,0.227,0.853,0.0,-0.208,-0.097,0,2
-0.141,-0.529,0.233,0.853,0.0,-0.215,-0.089,0,2
-0.148,-0.528,0.24,0.853,0.0,-0.221,-0.081,0,2
-0.155,-0.527,0.247,0.853,0.0,-0.228,-0.073,0,2
-0.161,-0.525,0.253,0.853,0.0,-0.235,-0.065,0,2
-0.168,-0.524,0.26,0.853,0.0,-0.241,-0.057,0,2
-0.175,-0.523,0.267,0.853,0.0,-0.248,-0.049,0,2
-0.181,-0.521,0.273,0.853,0.0,-0.255,-0.041,0,2
-0.188,-0.52,0.28,0.853,0.0,-0.261,-0.033,0,2
-0.195,-0.519,0.287,0.853,0.0,-0.268,-0.025,0,2
-0.201,-0.517,0.293,0.853,0.0,-0.275,-0.017,0,2
-0.208,-0.516,0.3,0.853,0.0,-0.281,-0.009,0,2
-0.215,-0.515,0.307,0.853,0.0,-0.288,-0.001,0,2
-0.221,-0.513,0.313,0.853,0.0,-0.295,0.007,0,2
-0.228,-0.512,0.32,0.853,0.0,-0.301,0.015,0,2
-0.235,-0.511,0.327,0.853,0.0,-0.308,0.023,0,2
-0.241,-0.509,0.333,0.853,0.0,-0.315,0.031,0,2
-0.248,-0.508,0.34,0.853,0.0,-0.321,0.039,0,2
0.259,-0.753,0.347,0.853,0.0,0.248,-0.681,0,2
0.252,-0.752,0.353,0.853,0.0,0.241,-0.673,0,2
0.245,-0.751,0.36,0.853,0.0,0.235,-0.665,0,2
0.239,-0.749,0.367,0.853,0.0,0.228,-0.657,0,2
0.232,-0.748,0.373,0.853,0.0,0.221,-0.649,0,2
0.225,-0.747,0.38,0.853,0.0,0.215,-0.641,0,2
0.219,-0.745,0.387,0.853,0.0,0.208,-0.633,0,2
0.212,-0.744,0.393,0.853,0.0,0.201,-0.625,0,2
0.205,-0.743,0.4,0.853,0.0,0.195,-0.617,0,2
0.199,-0.741,0.407,0.853,0.0,0.188,-0.609,0,2
0.192,-0.74,0.413,0.853,0.0,0.181,-0.601,0,2
0.185,-0.739,0.42,0.853,0.0,0.175,-0.593,0,2
0.179,-0.737,0.427,0.853,0.0,0.168,-0.585,0,2
0.172,-0.736,0.433,0.853,0.0,0.161,-0.577,0,2
0.165,-0.735,0.44,0.853,0.0,0.155,-0.569,0,2
0.159,-0.733,0.447,0.853,0.0,0.148,-0.561,0,2
0.152,-0.732,0.453,0.853,0.0,0.141,-0.553,0,2
0.145,-0.731,0.46,0.853,0.0,0.135,-0.545,0,2
0.139,-0.729,0.467,0.853,0.0,0.128,-0.537,0,2
0.132,-0.728,0.473,0.853,0.0,0.121,-0.529,0,2
0.125,-0.727,0.48,0.853,0.0,0.115,-0.521,0,2
0.119,-0.725,0.487,0.853,0.0,0.108,-0.513,0,2
0.112,-0.724,0.493,0.853,0.0,0.101,-0.505,0,2
0.105,-0.723,0.5,0.853,0.0,0.095,-0.497,0,2
0.099,-0.721,0.507,0.853,0.0,0.088,-0.489,0,2
0.092,-0.72,0.513,0.853,0.0,0.081,-0.481,0,2
0.085,-0.719,0.52,0.853,0.0,0.075,-0.473,0,2
0.085,-0.708,0.52,0.853,0.067,0.075,-0.409,0,5
0.085,-0.695,0.52,0.853,0.4,0.075,-0.329,0,0
0.079,-0.691,0.527,0.853,0.5,0.068,-0.305,0,2
0.072,-0.689,0.533,0.853,0.533,0.061,-0.297,1,2
0.065,-0.688,0.54,0.853,0.567,0.055,-0.289,1,2
0.059,-0.687,0.547,0.853,0.6,0.048,-0.281,1,2
0.052,-0.685,0.553,0.853,0.633,0.041,-0.273,1,2
0.045,-0.684,0.56,0.853,0.667,0.035,-0.265,1,2
0.039,-0.683,0.567,0.853,0.7,0.028,-0.257,1,2
0.032,-0.681,0.573,0.853,0.733,0.021,-0.249,1,2
0.032,-0.668,0.573,0.853,0.067,0.021,-0.169,1,5
0.039,-0.659,0.567,0.853,0.3,0.028,-0.113,1,1
0.045,-0.657,0.56,0.853,0.333,0.035,-0.105,1,1
0.052,-0.656,0.553,0.853,0.367,0.041,-0.097,1,1
0.059,-0.655,0.547,0.853,0.4,0.048,-0.089,1,1
0.065,-0.653,0.54,0.853,0.433,0.055,-0.081,1,1
0.072,-0.652,0.533,0.853,0.467,0.061,-0.073,1,1
0.079,-0.651,0.527,0.853,0.5,0.068,-0.065,0,1
0.085,-0.649,0.52,0.853,0.533,0.075,-0.057,0,1
0.092,-0.648,0.513,0.853,0.567,0.081,-0.049,0,1
0.099,-0.647,0.507,0.853,0.6,0.088,-0.041,0,1
0.105,-0.645,0.5,0.853,0.633,0.095,-0.033,0,1
0.112,-0.644,0.493,0.853,0.667,0.101,-0.025,0,1
0.119,-0.643,0.487,0.853,0.7,0.108,-0.017,0,1
0.125,-0.641,0.48,0.853,0.733,0.115,-0.009,0,1
0.132,-0.64,0.473,0.853,0.767,0.121,-0.001,0,1
0.139,-0.639,0.467,0.853,0.8,0.128,0.007,0,1
0.145,-0.637,0.46,0.853,0.833,0.135,0.015,0,1
0.152,-0.636,0.453,0.853,0.867,0.141,0.023,0,1
0.159,-0.635,0.447,0.853,0.9,0.148,0.031,0,1
0.165,-0.633,0.44,0.853,0.933,0.155,0.039,0,1
0.172,-0.632,0.433,0.853,0.967,0.161,0.047,0,1
0.179,-0.631,0.427,0.853,1.0,0.168,0.055,0,1
0.185,-0.629,0.42,0.853,0.0,0.175,0.063,0,1
0.192,-0.628,0.413,0.853,0.0,0.181,0.071,0,1
0.199,-0.627,0.407,0.853,0.0,0.188,0.079,0,1
0.205,-0.625,0.4,0.853,0.0,0.195,0.087,0,1
0.212,-0.624,0.393,0.853,0.0,0.201,0.095,0,1
0.219,-0.623,0.387,0.853,0.0,0.208,0.103,0,1
0.219,-0.609,0.387,0.853,0.0,0.212,-0.243,0,0
0.281,-0.597,0.387,0.853,0.0,0.212,-0.163,0,0
0.281,-0.584,0.387,0.853,0.0,0.212,-0.083,0,0
0.275,-0.581,0.393,0.853,0.0,0.205,-0.067,0,2
0.268,-0.58,0.4,0.853,0.0,0.199,-0.059,0,2
0.261,-0.579,0.407,0.853,0.0,0.192,-0.051,0,2
0.255,-0.577,0.413,0.853,0.0,0.185,-0.043,0,2
0.259,-0.676,0.413,0.853,0.067,0.185,0.037,0,5
0.259,-0.663,0.413,0.853,0.4,0.185,-0.109,0,0
0.252,-0.651,0.42,0.853,0.7,0.179,-0.045,0,2
0.245,-0.649,0.427,0.853,0.733,0.172,-0.037,0,2
0.239,-0.648,0.433,0.853,0.767,0.165,-0.029,0,2
0.232,-0.647,0.44,0.853,0.8,0.159,-0.021,0,2
0.225,-0.645,0.447,0.853,0.833,0.152,-0.013,0,2
0.219,-0.644,0.453,0.853,0.867,0.145,-0.005,0,2
0.219,-0.631,0.453,0.853,0.0,0.145,0.075,0,0
0.219,-0.617,0.453,0.853,0.0,0.145,-0.265,0,0
0.219,-0.604,0.453,0.853,0.0,0.145,-0.185,0,0
0.219,-0.591,0.453,0.853,0.0,0.145,-0.105,0,0
0.219,-0.577,0.453,0.853,0.0,0.145,-0.025,0,0
0.212,-0.569,0.46,0.853,0.0,0.139,0.023,0,2
0.205,-0.568,0.467,0.853,0.0,0.132,0.031,0,2
0.199,-0.567,0.473,0.853,0.0,0.125,0.039,0,2
0.192,-0.565,0.48,0.853,0.0,0.119,0.047,0,2
0.185,-0.564,0.487,0.853,0.0,0.112,0.055,0,2
0.179,-0.563,0.493,0.853,0.0,0.105,0.063,0,2
0.172,-0.561,0.5,0.853,0.0,0.099,0.071,0,2
0.165,-0.56,0.507,0.853,0.0,0.092,0.079,0,2
0.159,-0.559,0.513,0.853,0.0,0.085,0.087,0,2
0.152,-0.557,0.52,0.853,0.0,0.079,0.095,0,2
0.145,-0.556,0.527,0.853,0.0,0.072,0.103,0,2
0.139,-0.555,0.533,0.853,0.0,0.065,0.111,1,2
0.132,-0.553,0.54,0.853,0.0,0.059,0.119,1,2
0.125,-0.552,0.547,0.853,0.0,0.052,0.127,1,2
0.119,-0.551,0.553,0.853,0.0,0.045,0.135,1,2
0.112,-0.549,0.56,0.853,0.0,0.039,0.143,1,2
0.105,-0.548,0.567,0.853,0.0,0.032,-0.443,1,2
0.099,-0.547,0.573,0.853,0.0,0.025,-0.435,1,2
0.092,-0.545,0.58,0.853,0.0,0.019,-0.427,1,2
0.085,-0.544,0.587,0.853,0.0,0.012,-0.419,1,2
0.079,-0.543,0.593,0.853,0.0,0.005,-0.411,1,2
0.072,-0.541,0.6,0.853,0.0,-0.001,-0.403,1,2
0.072,-0.529,0.6,0.853,0.067,-0.001,-0.331,1,5
0.072,-0.516,0.6,0.853,0.4,-0.001,-0.251,1,0
0.079,-0.513,0.593,0.853,0.467,0.005,-0.235,1,1
0.085,-0.512,0.587,0.853,0.5,0.012,-0.227,1,1
0.092,-0.511,0.58,0.853,0.533,0.019,-0.219,1,1
0.099,-0.509,0.573,0.853,0.567,0.025,-0.211,1,1
0.105,-0.508,0.567,0.853,0.6,0.032,-0.203,1,1
0.112,-0.507,0.56,0.853,0.633,0.039,-0.195,1,1
0.119,-0.505,0.553,0.853,0.667,0.045,-0.187,1,1
0.125,-0.504,0.547,0.853,0.7,0.052,-0.179,1,1
0.132,-0.503,0.54,0.853,0.733,0.059,-0.171,1,1
0.139,-0.501,0.533,0.853,0.767,0.065,-0.163,1,1
0.145,-0.5,0.527,0.853,0.8,0.072,-0.155,0,1
0.152,-0.499,0.52,0.853,0.833,0.079,-0.147,0,1
0.159,-0.497,0.513,0.853,0.867,0.085,-0.139,0,1
0.165,-0.496,0.507,0.853,0.9,0.092,-0.131,0,1
0.172,-0.495,0.5,0.853,0.933,0.099,-0.123,0,1
0.179,-0.493,0.493,0.853,0.967,0.105,-0.115,0,1
0.185,-0.492,0.487,0.853,1.0,0.112,-0.107,0,1
0.192,-0.491,0.48,0.853,0.0,0.119,-0.099,0,1
0.199,-0.489,0.473,0.853,0.0,0.125,-0.091,0,1
0.205,-0.488,0.467,0.853,0.0,0.132,-0.083,0,1
0.212,-0.487,0.46,0.853,0.0,0.139,-0.075,0,1
0.219,-0.485,0.453,0.853,0.0,0.145,-0.067,0,1
0.225,-0.484,0.447,0.853,0.0,0.152,-0.059,0,1
0.225,-0.471,0.447,0.853,0.0,0.152,0.021,0,0
0.225,-0.457,0.447,0.853,0.0,0.152,0.101,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.447,-0.853,0.447,0.853,0.0,1.0,1.0,0,0
-0.44,-0.853,0.44,0.853,0.0,1.0,1.0,0,1
-0.433,-0.853,0.433,0.853,0.0,1.0,1.0,0,1
-0.141,-0.819,0.427,0.853,0.0,1.0,1.0,0,1
-0.135,-0.817,0.42,0.853,0.0,1.0,1.0,0,1
-0.128,-0.816,0.413,0.853,0.0,1.0,1.0,0,1
-0.121,-0.815,0.407,0.853,0.0,1.0,1.0,0,1
-0.115,-0.813,0.4,0.853,0.0,1.0,1.0,0,1
-0.108,-0.812,0.393,0.853,0.0,1.0,1.0,0,1
-0.101,-0.811,0.387,0.853,0.0,1.0,1.0,0,1
-0.095,-0.809,0.38,0.853,0.0,1.0,1.0,0,1
-0.088,-0.808,0.373,0.853,0.0,1.0,1.0,0,1
-0.081,-0.807,0.367,0.853,0.0,1.0,1.0,0,1
-0.075,-0.805,0.36,0.853,0.0,1.0,1.0,0,1
-0.068,-0.804,0.353,0.853,0.0,1.0,1.0,0,1
-0.061,-0.803,0.347,0.853,0.0,1.0,1.0,0,1
-0.055,-0.801,0.34,0.853,0.0,0.317,-0.92,0,1
-0.048,-0.8,0.333,0.853,0.0,1.0,1.0,0,1
-0.041,-0.799,0.327,0.853,0.0,1.0,1.0,0,1
-0.035,-0.797,0.32,0.853,0.0,1.0,1.0,0,1
-0.028,-0.796,0.313,0.853,0.0,1.0,1.0,0,1
-0.021,-0.795,0.307,0.853,0.0,1.0,1.0,0,1
-0.015,-0.793,0.3,0.853,0.0,1.0,1.0,0,1
